"IdGenotype","IdProgeny","Site","Plot","LineNumber","TreeNumber","IdTrunk","ObservationDate","BottomPeriphery","OneAndHalfMeterPeriphery","TwoMeterPeriphery","Height","LengthWoodDensitySampleOne","WoodDensityDryWeightSampleOne","LengthWoodDensitySampleTwo","WoodDensityDryWeightSampleTwo","PlantingDate","MAP","TreeId"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2023-12-26,240,240,248,5.6,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2014-10-09,247,NA,NA,0.5,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2015-01-22,227,NA,NA,0.65,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2016-01-26,260,NA,NA,0.76,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2017-01-19,284,NA,NA,1.47,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2018-01-13,266,229,NA,1.61,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2019-01-19,267,278,NA,2,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2020-02-01,243,273,NA,2.42,16.5,0.5,13.3,0.3,2011-01-01,109,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2021-01-14,253,274,262,3.04,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2022-01-15,258,273,270,3.3,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2023-01-19,279,195,210,3.92,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","50","3","Stipe_SMSE_B22_50_3",2024-01-02,256,200,260,4.2,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE01_50_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2014-10-09,229,NA,NA,0.53,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2015-01-22,221,NA,NA,0.62,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2016-01-26,268,NA,NA,0.79,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2017-01-19,284,NA,NA,1.5,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2018-01-13,271,253,NA,1.78,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2019-01-19,272,257,NA,2.4,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2020-02-01,265,257,NA,2.84,13.6,0.3,15.8,0.4,2011-01-01,109,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2021-01-14,280,268,272,3.4,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2022-01-15,260,264,270,3.88,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2023-01-19,285,260,266,4.39,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","51","3","Stipe_SMSE_B22_51_3",2024-01-02,278,270,270,4.94,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE01_51_3"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2014-10-09,180,NA,NA,0.64,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2015-01-22,204,NA,NA,0.8,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2016-01-26,233,NA,NA,0.94,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2017-01-19,249,NA,NA,1.5,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2018-01-13,265,255,NA,1.93,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2019-01-19,270,262,NA,2.5,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2020-02-01,260,246,NA,3.05,12.1,0.4,12.6,0.4,2011-01-01,109,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2021-01-14,272,257,268,3.6,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2022-01-15,264,261,266,3.9,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2023-01-19,268,254,257,4.42,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_52_5"
"GE01","PO9915","SMSE","B22","52","5","Stipe_SMSE_B22_52_5",2024-01-02,281,260,274,4.9,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE01_52_5"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2018-01-22,279,NA,NA,1.47,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2019-01-30,288,256,NA,1.77,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2020-02-22,286,252,NA,2.51,15.9,0.7,14.3,0.7,2011-01-01,109,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2021-01-22,280,259,242,2.85,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2022-01-26,290,254,250,3.3,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE02_106_19"
