TreeId,MAP,Site,LAI_MAP,IdGenotype,Date,Cumulated_LAI
PR_G5-1_2_GE12_29_10,46,PR,1.98467282346667,GE12,2014-03-03,1.98467282346667
PR_G5-1_2_GE12_29_10,57,PR,3.0075357312,GE12,2015-02-13,4.99220855466667
PR_G5-1_2_GE12_29_10,69,PR,2.4977784832,GE12,2016-02-17,7.489987037866669
PR_G5-1_2_GE12_29_10,82,PR,3.82889173333333,GE12,2017-03-03,11.3188787712
PR_G5-1_2_GE12_29_8,46,PR,2.40029976853333,GE12,2014-03-03,2.40029976853333
PR_G5-1_2_GE12_29_8,57,PR,2.9962204272,GE12,2015-02-13,5.39652019573333
PR_G5-1_2_GE12_29_8,82,PR,3.860624768,GE12,2017-03-03,9.25714496373333
PR_G5-1_2_GE12_29_9,46,PR,2.40564217226667,GE12,2014-03-03,2.40564217226667
PR_G5-1_2_GE12_29_9,57,PR,3.24566589013333,GE12,2015-02-13,5.6513080624
PR_G5-1_2_GE12_29_9,69,PR,2.7400541168,GE12,2016-02-17,8.3913621792
PR_G5-1_2_GE12_29_9,82,PR,4.7098443392,GE12,2017-03-03,13.1012065184
PR_G5-1_2_GE16_13_3,45,PR,1.88339564746667,GE16,2014-02-25,1.88339564746667
PR_G5-1_2_GE16_13_3,57,PR,2.66360280853333,GE16,2015-02-07,4.546998456
PR_G5-1_2_GE16_13_3,69,PR,2.7624781184,GE16,2016-02-11,7.3094765744
PR_G5-1_2_GE16_13_3,81,PR,3.37091741653333,GE16,2017-02-25,10.680393990933329
PR_G5-1_2_GE16_13_3,93,PR,3.4661442816,GE16,2018-02-09,14.146538272533329
PR_G5-1_2_GE16_13_3,105,PR,3.8286504256,GE16,2019-02-18,17.97518869813333
PR_G5-1_2_GE16_13_3,117,PR,3.8911864992,GE16,2020-02-19,21.86637519733333
PR_G5-1_2_GE16_13_3,129,PR,5.2302578328,GE16,2021-02-10,27.09663303013333
PR_G5-1_2_GE16_13_3,141,PR,4.725112392,GE16,2022-02-09,31.82174542213333
PR_G5-1_2_GE16_13_3,153,PR,4.13637224,GE16,2023-02-08,35.95811766213333
PR_G5-1_2_GE16_13_3,165,PR,4.8773973248,GE16,2024-02-07,40.83551498693333
PR_G5-1_2_GE16_24_10,45,PR,2.20627073333333,GE16,2014-02-28,2.20627073333333
PR_G5-1_2_GE16_24_10,57,PR,2.51688850746667,GE16,2015-02-11,4.723159240799999
PR_G5-1_2_GE16_24_10,69,PR,3.14666352,GE16,2016-02-15,7.8698227608
PR_G5-1_2_GE16_24_10,82,PR,3.69097742346667,GE16,2017-03-01,11.56080018426667
PR_G5-1_2_GE16_24_10,93,PR,3.0166840704,GE16,2018-02-12,14.57748425466667
PR_G5-1_2_GE16_24_10,105,PR,3.78184393253333,GE16,2019-02-20,18.3593281872
PR_G5-1_2_GE16_24_10,117,PR,4.33744644666667,GE16,2020-02-21,22.696774633866667
PR_G5-1_2_GE16_24_10,129,PR,4.8356308,GE16,2021-02-12,27.532405433866668
PR_G5-1_2_GE16_24_10,141,PR,5.1302899648,GE16,2022-02-11,32.66269539866667
PR_G5-1_2_GE16_24_10,153,PR,4.17865821706667,GE16,2023-02-10,36.84135361573334
PR_G5-1_2_GE16_24_10,165,PR,5.5845261472,GE16,2024-02-09,42.42587976293334
PR_G5-1_2_GE16_24_11,45,PR,2.0303491208,GE16,2014-02-28,2.0303491208
PR_G5-1_2_GE16_24_11,57,PR,2.8412375992,GE16,2015-02-11,4.87158672
PR_G5-1_2_GE16_24_11,69,PR,3.4027449456,GE16,2016-02-15,8.2743316656
PR_G5-1_2_GE16_24_11,82,PR,3.49110334906667,GE16,2017-03-01,11.76543501466667
PR_G5-1_2_GE16_24_11,93,PR,3.53657090453333,GE16,2018-02-12,15.302005919199999
PR_G5-1_2_GE16_24_11,105,PR,4.14383035733333,GE16,2019-02-20,19.445836276533328
PR_G5-1_2_GE16_24_11,117,PR,4.084224144,GE16,2020-02-21,23.530060420533328
PR_G5-1_2_GE16_24_11,129,PR,5.21297069626667,GE16,2021-02-12,28.743031116799997
PR_G5-1_2_GE16_24_11,141,PR,5.171534368,GE16,2022-02-11,33.914565484799994
PR_G5-1_2_GE16_24_11,153,PR,4.9829475696,GE16,2023-02-10,38.897513054399994
PR_G5-1_2_GE16_24_11,165,PR,5.4842884096,GE16,2024-02-09,44.38180146399999
PR_G5-1_2_GE16_24_9,45,PR,2.25541582933333,GE16,2014-02-28,2.25541582933333
PR_G5-1_2_GE16_24_9,57,PR,2.4694942272,GE16,2015-02-11,4.72491005653333
PR_G5-1_2_GE16_24_9,69,PR,3.57381024,GE16,2016-02-15,8.29872029653333
PR_G5-1_2_GE16_24_9,82,PR,3.457966512,GE16,2017-03-01,11.756686808533331
PR_G5-1_2_GE16_24_9,93,PR,3.71200162666667,GE16,2018-02-12,15.4686884352
PR_G5-1_2_GE16_24_9,105,PR,4.2215741568,GE16,2019-02-20,19.690262592
PR_G5-1_2_GE16_24_9,117,PR,4.6754179472,GE16,2020-02-21,24.3656805392
PR_G5-1_2_GE16_24_9,129,PR,4.852011164,GE16,2021-02-12,29.2176917032
PR_G5-1_2_GE16_24_9,141,PR,6.57960476506667,GE16,2022-02-11,35.79729646826667
PR_G5-1_2_GE16_24_9,153,PR,4.700183488,GE16,2023-02-10,40.49747995626667
PR_G5-1_2_GE16_24_9,165,PR,5.3197560416,GE16,2024-02-09,45.817235997866675
SMSE_B22_1_GE02_4_8,44,SMSE,1.74427602944,GE02,2014-09-09,1.74427602944
SMSE_B22_1_GE02_4_8,48,SMSE,1.94611617536,GE02,2015-01-05,3.6903922048
SMSE_B22_1_GE02_4_8,60,SMSE,2.15423231146667,GE02,2016-01-11,5.84462451626667
SMSE_B22_1_GE02_4_8,72,SMSE,2.08252696064,GE02,2017-01-12,7.92715147690667
SMSE_B22_1_GE02_4_8,84,SMSE,3.24911233024,GE02,2018-01-06,11.17626380714667
SMSE_B22_1_GE02_4_8,96,SMSE,3.11738112,GE02,2019-01-16,14.29364492714667
SMSE_B22_1_GE02_4_9,44,SMSE,1.60915163733333,GE02,2014-09-09,1.60915163733333
SMSE_B22_1_GE02_4_9,48,SMSE,1.95038260778667,GE02,2015-01-05,3.55953424512
SMSE_B22_1_GE02_4_9,60,SMSE,1.99497972053333,GE02,2016-01-11,5.55451396565333
SMSE_B22_1_GE02_4_9,72,SMSE,2.30853267456,GE02,2017-01-12,7.86304664021333
SMSE_B22_1_GE02_4_9,84,SMSE,2.8926116352,GE02,2018-01-06,10.75565827541333
SMSE_B22_1_GE02_4_9,96,SMSE,2.61052839936,GE02,2019-01-16,13.36618667477333
SMSE_B22_1_GE02_4_9,108,SMSE,3.00787461632,GE02,2020-01-16,16.37406129109333
SMSE_B22_1_GE02_4_9,120,SMSE,3.7001132672,GE02,2021-01-05,20.07417455829333
SMSE_B22_1_GE02_4_9,132,SMSE,4.12473826986667,GE02,2022-01-07,24.198912828159997
SMSE_B22_1_GE02_4_9,144,SMSE,3.86216133632,GE02,2023-01-05,28.061074164479997
SMSE_B22_1_GE02_4_9,155,SMSE,4.29203325525333,GE02,2023-12-16,32.35310741973333
SMSE_B22_1_GE03_14_18,44,SMSE,1.78553972053333,GE03,2014-09-16,1.78553972053333
SMSE_B22_1_GE03_14_18,48,SMSE,2.11519452330667,GE03,2015-01-07,3.9007342438399997
SMSE_B22_1_GE03_14_18,60,SMSE,2.3361805824,GE03,2016-01-14,6.23691482624
SMSE_B22_1_GE03_14_18,72,SMSE,2.30686446592,GE03,2017-01-14,8.54377929216
SMSE_B22_1_GE03_14_18,84,SMSE,2.77686854144,GE03,2018-01-08,11.320647833599999
SMSE_B22_1_GE03_14_18,96,SMSE,3.1956736,GE03,2019-01-19,14.516321433599998
SMSE_B22_1_GE03_14_18,108,SMSE,2.82108906837333,GE03,2020-01-20,17.337410501973327
SMSE_B22_1_GE03_14_18,120,SMSE,3.65565826901333,GE03,2021-01-06,20.993068770986657
SMSE_B22_1_GE03_14_18,132,SMSE,4.15873538304,GE03,2022-01-08,25.151804154026657
SMSE_B22_1_GE03_14_18,144,SMSE,3.69101864618667,GE03,2023-01-10,28.842822800213327
SMSE_B22_1_GE03_14_18,155,SMSE,4.48846989994667,GE03,2023-12-19,33.33129270016
SMSE_B22_1_GE03_15_16,44,SMSE,2.20354702848,GE03,2014-09-16,2.20354702848
SMSE_B22_1_GE03_15_16,48,SMSE,1.9956174336,GE03,2015-01-07,4.199164462080001
SMSE_B22_1_GE03_15_16,60,SMSE,2.518908224,GE03,2016-01-14,6.718072686080001
SMSE_B22_1_GE03_15_16,72,SMSE,2.23447672149333,GE03,2017-01-14,8.952549407573331
SMSE_B22_1_GE03_15_16,84,SMSE,3.0642534272,GE03,2018-01-08,12.016802834773332
SMSE_B22_1_GE03_15_18,44,SMSE,2.00331264,GE03,2014-09-16,2.00331264
SMSE_B22_1_GE03_15_18,48,SMSE,2.29711527509333,GE03,2015-01-07,4.30042791509333
SMSE_B22_1_GE03_15_18,60,SMSE,2.54625144106667,GE03,2016-01-14,6.84667935616
SMSE_B22_1_GE03_15_18,72,SMSE,2.65545041066667,GE03,2017-01-14,9.50212976682667
SMSE_B22_1_GE03_15_18,84,SMSE,3.6361586688,GE03,2018-01-08,13.13828843562667
SMSE_B22_1_GE03_15_18,96,SMSE,3.6370177536,GE03,2019-01-19,16.77530618922667
SMSE_B22_1_GE03_15_18,108,SMSE,3.68670210048,GE03,2020-01-20,20.462008289706667
SMSE_B22_1_GE03_15_18,120,SMSE,4.15021643008,GE03,2021-01-06,24.612224719786667
SMSE_B22_1_GE03_15_18,132,SMSE,3.69843195904,GE03,2022-01-08,28.310656678826668
SMSE_B22_1_GE03_15_18,144,SMSE,4.2163181312,GE03,2023-01-10,32.526974810026665
SMSE_B22_1_GE03_15_18,155,SMSE,5.10177927168,GE03,2023-12-19,37.62875408170667
SMSE_B22_1_GE06_30_5,44,SMSE,2.15556165888,GE06,2014-09-23,2.15556165888
SMSE_B22_1_GE06_30_5,48,SMSE,2.15547138389333,GE06,2015-01-12,4.31103304277333
SMSE_B22_1_GE06_30_5,60,SMSE,2.3777045376,GE06,2016-01-20,6.6887375803733295
