TreeId,MAP,Site,IdGenotype,sum_stalk_biomass_mes,Cumulated_stalk_biomass_mes,Date
PR_G5-1_2_GE12_29_8,124,PR,GE12,1.04196742799504,31.189586541288552,2020-09-25
PR_G5-1_2_GE12_29_8,125,PR,GE12,1.834251512106074,33.02383805339463,2020-10-07
PR_G5-1_2_GE12_29_8,131,PR,GE12,2.127234724366326,35.15107277776095,2021-04-09
PR_G5-1_2_GE12_29_8,133,PR,GE12,1.801344583850934,36.952417361611886,2021-06-18
PR_G5-1_2_GE12_29_8,134,PR,GE12,1.878401850803199,38.830819212415086,2021-07-26
PR_G5-1_2_GE12_29_8,135,PR,GE12,1.606568313983794,40.43738752639888,2021-08-30
PR_G5-1_2_GE12_29_8,156,PR,GE12,3.0212027625690663,43.45859028896795,2023-05-17
PR_G5-1_2_GE12_29_8,163,PR,GE12,3.0635873821153012,46.52217767108325,2023-12-18
PR_G5-1_2_GE12_29_8,164,PR,GE12,3.0228416969298992,49.54501936801315,2024-01-06
PR_G5-1_2_GE12_29_9,47,PR,GE12,0.2698007696026544,0.5396015392053088,2014-04-30
PR_G5-1_2_GE12_29_9,48,PR,GE12,0.3826233449617962,0.922224884167105,2014-05-28
PR_G5-1_2_GE12_29_9,50,PR,GE12,0.1911489454898863,1.1133738296569913,2014-07-04
PR_G5-1_2_GE12_29_9,51,PR,GE12,0.2274529608037274,1.3408267904607187,2014-08-11
PR_G5-1_2_GE12_29_9,52,PR,GE12,0.348567660330261,1.6893944507909797,2014-09-17
PR_G5-1_2_GE12_29_9,59,PR,GE12,0.7004156855562407,3.090225821903461,2015-04-29
PR_G5-1_2_GE12_29_9,61,PR,GE12,0.731573173296588,3.821798995200049,2015-06-05
PR_G5-1_2_GE12_29_9,62,PR,GE12,0.737821000374783,5.297440995949615,2015-07-31
PR_G5-1_2_GE12_29_9,64,PR,GE12,0.432170073729993,5.729611069679608,2015-09-07
PR_G5-1_2_GE12_29_9,73,PR,GE12,1.160188682425295,6.889799752104903,2016-06-13
PR_G5-1_2_GE12_29_9,74,PR,GE12,0.98941597709545,8.868631706295803,2016-07-29
PR_G5-1_2_GE12_29_9,76,PR,GE12,0.778784290893342,9.647415997189144,2016-09-05
PR_G5-1_2_GE12_29_9,77,PR,GE12,1.092210113953331,11.831836225095806,2016-10-31
PR_G5-1_2_GE12_29_9,79,PR,GE12,0.830680644738371,12.662516869834176,2016-12-07
PR_G5-1_2_GE12_29_9,80,PR,GE12,0.842377222450752,13.504894092284928,2017-01-13
PR_G5-1_2_GE12_29_9,81,PR,GE12,0.704511144952932,14.20940523723786,2017-02-20
PR_G5-1_2_GE12_29_9,90,PR,GE12,1.243881876307123,16.697168989852106,2017-11-27
PR_G5-1_2_GE12_29_9,92,PR,GE12,1.2691647210603412,17.966333710912448,2018-01-22
PR_G5-1_2_GE12_29_9,100,PR,GE12,1.589471903911227,19.555805614823676,2018-09-03
PR_G5-1_2_GE12_29_9,101,PR,GE12,1.771173370404895,21.32697898522857,2018-10-10
PR_G5-1_2_GE12_29_9,103,PR,GE12,1.423059637843575,22.750038623072147,2018-12-05
PR_G5-1_2_GE12_29_9,106,PR,GE12,1.5315976446707829,24.28163626774293,2019-03-08
PR_G5-1_2_GE12_29_9,109,PR,GE12,1.9028277880727478,26.184464055815678,2019-06-28
PR_G5-1_2_GE12_29_9,111,PR,GE12,1.959221210024894,28.14368526584057,2019-08-05
PR_G5-1_2_GE12_29_9,116,PR,GE12,2.600110773027092,30.743796038867664,2020-01-10
PR_G5-1_2_GE12_29_9,121,PR,GE12,1.97436355109147,32.718159589959136,2020-06-26
PR_G5-1_2_GE12_29_9,122,PR,GE12,2.086439457438484,34.804599047397616,2020-07-28
PR_G5-1_2_GE12_29_9,126,PR,GE12,1.817771722048413,36.62237076944603,2020-11-17
PR_G5-1_2_GE12_29_9,134,PR,GE12,2.270119725785586,38.89249049523161,2021-07-13
PR_G5-1_2_GE12_29_9,135,PR,GE12,1.951939952069747,40.84443044730136,2021-08-30
PR_G5-1_2_GE12_29_9,138,PR,GE12,2.015676773020333,42.860107220321694,2021-11-08
PR_G5-1_2_GE12_29_9,159,PR,GE12,2.189740753643902,45.0498479739656,2023-08-31
PR_G5-1_2_GE12_29_9,162,PR,GE12,2.848735932186066,47.898583906151664,2023-11-21
PR_G5-1_2_GE12_29_9,163,PR,GE12,2.590717546170349,50.48930145232201,2023-12-14
SMSE_B22_1_GE02_4_8,41,SMSE,GE02,1.2483896103896117,1.2483896103896117,2014-06-23
SMSE_B22_1_GE02_4_8,42,SMSE,GE02,0.4996875287197866,1.7480771391093983,2014-07-01
SMSE_B22_1_GE02_4_8,43,SMSE,GE02,0.5123386432298821,2.2604157823392805,2014-08-01
