Site,TreeId,MAP,IdGenotype,Date,BunchMass,DryMesocarpOilContent,MesocarpsSampleWC,n_of_fruit,biomass_fresh_fruit,biomass_dry_fruit,stalk_dry_biomass,stalk_fresh_biomass
PR,PR_G5-1_3_GE03_33_3,47,GE03,2014-04-30,3.0,78.37,0.27949999999999997,,,,,1.52
PR,PR_G5-1_3_GE03_33_4,47,GE03,2014-04-30,21.8,80.195,0.291875,,,,,3.216
PR,PR_G5-1_3_GE03_33_5,47,GE03,2014-04-30,11.4,80.405,0.28700000000000003,,,,,1.9600000000000002
PR,PR_G5-1_2_GE06_34_10,47,GE06,2014-04-21,12.0,78.61,0.27725,673,3.808,0.9713323427439334,0.7175116157661181,1.894
PR,PR_G5-1_2_GE06_34_11,47,GE06,2014-04-30,12.8,78.765,0.308125,1034,3.348,1.5100132069689312,0.8947980856591777,2.3499999999999996
PR,PR_G5-1_2_GE06_34_9,47,GE06,2014-04-30,8.200000000000001,71.53,0.413875,760,2.5599999999999996,0.9161848225173725,0.6613719830306946,1.7479999999999998
PR,PR_G5-1_3_GE16_39_18,47,GE16,2014-04-30,14.0,77.28,0.30125,,,,,1.8719999999999999
PR,PR_G5-1_3_GE16_39_19,47,GE16,2014-04-30,20.6,80.17500000000001,0.278625,,,,,2.7699999999999996
PR,PR_G5-1_3_GE16_39_20,47,GE16,2014-04-30,20.4,81.78,0.255375,,,,,3.4559999999999995
PR,PR_G5-1_3_GE06_39_23,47,GE06,2014-04-21,12.0,77.79,0.38225,,,,,1.564
PR,PR_G5-1_3_GE06_39_24,47,GE06,2014-04-21,13.799999999999999,75.52,0.34275,,,,,1.3940000000000001
PR,PR_G5-1_3_GE06_39_25,47,GE06,2014-04-30,11.8,80.17,0.28925,,,,,2.778
PR,PR_G5-1_3_GE12_39_3,47,GE12,2014-04-30,11.0,80.22999999999999,0.275125,,,,,1.658
PR,PR_G5-1_3_GE12_39_4,47,GE12,2014-04-30,16.4,80.03,0.28912499999999997,,,,,3.514
PR,PR_G5-1_3_GE12_39_5,47,GE12,2014-04-30,15.8,81.65,0.267,,,,,2.654
PR,PR_G5-1_1_GE09_3_10,47,GE09,2014-04-28,19.8,80.73,0.273,1041,4.574,1.4667586538461537,0.5868077116634381,1.8299999999999998
PR,PR_G5-1_1_GE09_3_8,47,GE09,2014-04-28,15.2,81.66,0.30025,597,3.672,0.5953145082765333,0.515892902724805,1.452
PR,PR_G5-1_3_GE09_44_6,47,GE09,2014-04-14,10.2,81.18,0.2925,,,,,1.8559999999999999
PR,PR_G5-1_4_GE02_49_10,47,GE02,2014-04-14,12.0,81.17,0.26625,,,,,0.96
PR,PR_G5-1_3_GE02_49_4,47,GE02,2014-04-14,7.199999999999999,76.14,0.38775,,,,,0.954
PR,PR_G5-1_3_GE02_49_5,47,GE02,2014-04-23,8.6,82.58,0.26875,,,,,1.56
PR,PR_G5-1_4_GE02_49_8,47,GE02,2014-04-04,6.4,,,,,,,
PR,PR_G5-1_4_GE02_49_9,47,GE02,2014-04-14,8.8,82.36,0.25725,,,,,1.234
